STRAIGHT_DEM,STRAIGHT_GOP,STRAIGHT_ALL,SPLIT_BIDEN,SPLIT_TRUMP,SPLIT_ALL,TOTAL_BIDEN,TOTAL_TRUMP,TOTAL_ALL,GOP_Straight,DEM_Straight,GOP_Split,DEM_Split,prop_split,trump,biden
598,528,1139,590,207,824,1188,735,1963,0.46356453,0.525021949,0.251213592,0.716019417,0.419765665,0.374426898,0.605196128
399,284,692,295,165,472,694,449,1164,0.410404624,0.576589595,0.349576271,0.625,0.405498282,0.385738832,0.596219931
589,363,962,545,232,793,1134,595,1755,0.377338877,0.612266112,0.292559899,0.687263556,0.451851852,0.339031339,0.646153846
599,375,985,389,171,581,988,546,1566,0.38071066,0.608121827,0.294320138,0.669535284,0.37100894,0.348659004,0.630906769
422,188,617,253,103,364,675,291,981,0.304700162,0.683954619,0.282967033,0.695054945,0.371049949,0.296636086,0.688073394
572,346,926,381,176,573,953,522,1499,0.373650108,0.617710583,0.307155323,0.664921466,0.382254837,0.348232155,0.635757171
778,298,1089,601,194,818,1379,492,1907,0.273645546,0.714416896,0.237163814,0.734718826,0.428945988,0.257996854,0.723125328
870,120,1004,502,80,594,1372,200,1598,0.119521912,0.866533865,0.134680135,0.845117845,0.371714643,0.125156446,0.858573217
287,92,387,253,41,298,540,133,685,0.237726098,0.741602067,0.137583893,0.848993289,0.435036496,0.194160584,0.788321168
679,91,783,240,48,299,919,139,1082,0.116219668,0.867177522,0.160535117,0.802675585,0.276340111,0.128465804,0.84935305
717,89,817,259,65,336,976,154,1153,0.108935129,0.877600979,0.193452381,0.770833333,0.291413703,0.133564614,0.846487424
673,155,846,242,88,339,915,243,1185,0.18321513,0.795508274,0.259587021,0.713864307,0.286075949,0.205063291,0.772151899
666,189,873,253,110,366,919,299,1239,0.216494845,0.762886598,0.300546448,0.691256831,0.295399516,0.241323648,0.741727199
452,50,511,83,13,97,535,63,608,0.097847358,0.884540117,0.134020619,0.855670103,0.159539474,0.103618421,0.879934211
1019,81,1123,233,36,271,1252,117,1394,0.072128228,0.907390917,0.132841328,0.859778598,0.194404591,0.083931133,0.898134864
561,111,676,479,98,593,1040,209,1269,0.164201183,0.829881657,0.165261383,0.807757167,0.467297084,0.164696612,0.819542947
